question,option_a,option_b,option_c,option_d,correct_answer,question_type,year,page
20. Influenza (the flu) and Tuberculosis are examples of diseases that are primarily:,Water-borne,Air-borne,Vector-borne,Genetic,B,multiple_choice,1980,599
"In nuclear physics, a self-sustaining reaction in which the products of one reaction event stimulate further reaction events is called a:",Redox reaction,Chain reaction,Endothermic reaction,Reversible reaction,B,multiple_choice,1979,600
Which of the following is an example of mimicry in biology?,A chameleon changing its color to match the sand.,A harmless hoverfly evolving to look like a stinging wasp.,A bat using echolocation to find insects.,A plant turning towards the sunlight.,B,multiple_choice,1979,600
"Proteins, which are essential for countless bodily functions, are polymers made from which building blocks?",Fatty acids,Glucose molecules,Nucleotides,Amino acids,D,multiple_choice,1979,600
"Which planet in our solar system is often called the ""Red Planet"" due to its rust-colored surface?",Jupiter,Venus,Mars,Mercury,C,multiple_choice,1979,601
The primary raw materials used in the manufacture of cement are:,Sand and Gravel,Bauxite and Cryolite,Limestone and Clay,Gypsum and Salt,C,multiple_choice,1979,601
Typhoid fever is a bacterial infection that is primarily transmitted through:,Insect bites,Airborne droplets,Contaminated food and water,Blood transfusion,C,multiple_choice,1979,602
"When an acid and an alkali react, they neutralize each other to form:",A stronger acid and water,A stronger alkali and hydrogen,A salt and water,Two different salts,C,multiple_choice,1979,602
A Calorie is a unit used to measure:,Power,Energy,Pressure,Frequency,B,multiple_choice,1979,602
Computers perform all their calculations and processing using a:,Decimal system (base-10),Hexadecimal system (base-16),Binary system (base-2),"Analog signal system essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",C,multiple_choice,1979,603
"10. The fundamental units of heredity, which are segments of DNA located on chromosomes, are known as:",Gametes,Genes,Alleles,Cytoplasm,B,multiple_choice,1979,605
11. A substance with a pH value greater than 7 is known as:,An acid,An alkali (or base),A neutral substance,A salt,B,multiple_choice,1979,605
12. Which of the following chemical processes is essential for life as it converts light energy into chemical energy in plants?,Respiration,Transpiration,Fermentation,Photosynthesis,D,multiple_choice,1979,605
13. Geostationary satellites are crucial for telecommunications because they:,Orbit the Earth at very high speeds,Remain in a fixed position relative to the Earth's surface,Have powerful telescopes,Are not affected by solar flares,B,multiple_choice,1979,606
"14. The existence of an element in two or more different physical forms, such as carbon existing as diamond and graphite, is known as:",Isomerism,Isotopy,Allotropy,Isomorphism,C,multiple_choice,1979,606
15. The unit of electrical energy that is typically used to measure household electricity consumption on utility bills is the:,Volt,Ampere,Watt,Kilowatt-hour (kWh),D,multiple_choice,1979,607
16. The variation in the length of days and nights throughout the year is caused by:,The Earth's rotation on its axis,The Earth's tilted axis as it revolves around the sun,The varying distance of the Earth from the sun,The gravitational pull of the moon,B,multiple_choice,1979,607
"17. One Horse Power (HP), a unit of power, is approximately equal to:",1000 Watts,100 Watts,746 Watts,550 Watts,C,multiple_choice,1979,607
18. The primary role of the kidney in the human body is to:,Digest proteins,Produce hormones for growth,Filter waste products from the blood,Absorb nutrients from food,C,multiple_choice,1979,608
19. The movement of a solvent (like water) across a semi-permeable membrane into a region of higher solute concentration is called:,Diffusion,Active Transport,Osmosis,Effusion,C,multiple_choice,1979,608
"20. The disease Plague, historically known as the Black Death, is caused by a:",Virus,Bacterium,Fungus,Parasitic protozoan,B,multiple_choice,1979,608
Which of the following is a genetically transmitted (hereditary) disease?,Haemophilia,Tuberculosis,Tetanus,Cholera,A,multiple_choice,1978,610
The fuel most commonly used in commercial jet airplanes is a type of:,High-octane gasoline,Kerosene,Liquefied Petroleum Gas (LPG),Compressed Natural Gas (CNG),B,multiple_choice,1978,610
The largest component of Natural Gas by volume is:,Methane,Propane,Butane,Ethane,A,multiple_choice,1978,611
"Unsaturated fats and oils, often considered healthier, are chemically characterized by the presence of:",Only single carbon-carbon bonds,At least one double or triple carbon-carbon bond,A large number of glycerol molecules,A saturated hydrocarbon chain,B,multiple_choice,1978,611
"A chemical reaction that releases energy into the surroundings, often in the form of heat, is called:",An endothermic reaction,A substitution reaction,An exothermic reaction,A redox reaction,C,multiple_choice,1978,612
"A transistor, the fundamental building block of modern electronics, primarily acts as:",A power generator,A charge storage device,An amplifier and a switch,A light-emitting device,C,multiple_choice,1978,612
"The Potohar Plateau region in Punjab, Pakistan, is significant for the extraction of:",Marble and Granite,Precious gemstones,Iron Ore,Petroleum and Natural Gas,D,multiple_choice,1978,612
Malaria is a parasitic disease transmitted to humans by the bite of the:,Aedes mosquito,Tsetse fly,Female Anopheles mosquito,Sandfly,C,multiple_choice,1978,613
10. The three primary raw materials required for the industrial manufacturing of common glass are:,"Clay, Gypsum, and Water","Bauxite, Cryolite, and Fluorite","Sand (Silica), Soda Ash, and Limestone","Graphite, Carbon, and Boron",C,multiple_choice,1978,613
11. Which of the following commercial products is produced by an insect?,Jute,Shellac,Rubber,Cotton,B,multiple_choice,1978,613
12. What is the primary functional difference between a barrage and a dam?,"A dam generates electricity, while a barrage is only for irrigation.","A barrage is designed to raise the water level and divert it into canals, while a dam is primarily for water storage.",A barrage is much larger than a dam.,"Dams are built on rivers, while barrages are built on lakes.",B,multiple_choice,1978,614
13. The ultimate source of energy that sustains almost all life on Earth is:,Geothermal heat,The Sun,Nuclear fission,Chemical energy from fossil fuels,B,multiple_choice,1978,614
14. The Thar region in Sindh is a major hub for which energy resource in Pakistan?,Petroleum,Coal,Uranium,Geothermal energy,B,multiple_choice,1978,615
"15. Bronze is an example of an alloy, primarily made from:",Iron and Carbon,Copper and Zinc,Copper and Tin,Aluminum and Magnesium,C,multiple_choice,1978,615
"16. In Pakistan, the Saindak and Reko Diq projects in Balochistan are globally recognized for their vast deposits of:",Coal and Gas,Iron and Bauxite,Copper and Gold,Mica and Limestone,C,multiple_choice,1978,615
17. Urea and Diammonium Phosphate (DAP) are widely used in agriculture as:,Pesticides,Herbicides,Nitrogenous and Phosphatic Fertilizers,Soil conditioners,C,multiple_choice,1978,616
18. The process of adding substances like methanol to ethyl alcohol to make it unfit for drinking is known as:,Fermentation,Esterification,Rectification,Denaturation,D,multiple_choice,1978,616
"19. In the human body, hormones function as:",Catalysts that speed up reactions,The primary source of energy,Building blocks for muscles,Chemical messengers,D,multiple_choice,1978,616
"20. Heavy Water, used as a moderator in nuclear reactors, is also known as:",Hydrogen Peroxide (H2O2),Deuterium Oxide (D2O),Tritium Oxide (T2O),Ozonated Water (H2O3),B,multiple_choice,1978,617
The refining of crude petroleum separates its components based on their different:,densities,colors,boiling points,solubilities,C,multiple_choice,1977,618
"While both smallpox and measles are viral diseases, a major difference is that smallpox has been '____ through global vaccination efforts.",completely eradicated,found to be non-contagious,treated with antibiotics,shown to be a bacterial infection,A,multiple_choice,1977,618
"Unlike Darwin, the scientist Lamarck incorrectly theorized that evolution occurred through the:",survival of the fittest,process of natural selection,inheritance of acquired characteristics,random genetic mutation,C,multiple_choice,1977,618
"A movie camera operates by capturing a rapid sequence of still images on a film coated with a light-sensitive material, utilizing a '____ reaction.",thermonuclear,physical,electrochemical,photochemical,D,multiple_choice,1977,619
Hydroelectric dams generate electricity based on the principle of converting:,chemical energy into electrical energy,potential energy of water into electrical energy,heat energy into electrical energy,nuclear energy into electrical energy,B,multiple_choice,1977,619
"The process used to refine crude petroleum into its various products like gasoline, kerosene, and diesel is called:",fractional distillation,electrolysis,polymerization,saponification,A,multiple_choice,1977,620
A hot cup of tea in a room loses its heat through which of the following processes?,Conduction,Convection,Radiation,All of these,D,multiple_choice,1977,620
The extreme variation in the duration of day and night in the polar regions is due to the:,Earth's elliptical orbit,tilt of the Earth's axis,gravitational pull of the sun,Earth's distance from the sun,B,multiple_choice,1977,620
Johannes Kepler refined the heliocentric model by discovering that planets move in '____ orbits.,circular,parabolic,elliptical,chaotic,C,multiple_choice,1977,621
"10. A submarine is able to operate under the sea by controlling its buoyancy, which it does by filling and emptying its:",fuel tanks,ballast tanks,torpedo tubes,engine room,B,multiple_choice,1977,621
11. A key difference between living beings and inanimate things is that living beings exhibit:,a fixed shape,metabolism,electrical conductivity,atomic structure,B,multiple_choice,1977,621
12. Trade winds are caused by the heating of the Earth's surface at the equator and the '____.,gravitational pull of the moon,Earth's magnetic field,Coriolis effect,jet stream,C,multiple_choice,1977,622
"13. Steel is manufactured from iron ore in a blast furnace, where the ore is heated with coke (carbon). In this process, steel is best described as an alloy of:",iron and copper,iron and carbon,iron and zinc,iron and tin,B,multiple_choice,1977,622
